DATE,ECICONWAG
2001-01-01,87.4
2001-04-01,88.1
2001-07-01,88.9
2001-10-01,89.6
2002-01-01,90.0
2002-04-01,90.6
2002-07-01,91.2
2002-10-01,92.2
2003-01-01,92.4
2003-04-01,93.3
2003-07-01,94.1
2003-10-01,94.6
2004-01-01,95.5
2004-04-01,95.8
2004-07-01,96.8
2004-10-01,97.0
2005-01-01,97.4
2005-04-01,98.3
2005-07-01,99.2
2005-10-01,100.1
2006-01-01,100.7
2006-04-01,102.0
2006-07-01,102.8
2006-10-01,103.8
2007-01-01,105.0
2007-04-01,105.9
2007-07-01,106.9
2007-10-01,107.9
2008-01-01,109.0
2008-04-01,110.0
2008-07-01,110.6
2008-10-01,111.1
2009-01-01,111.3
2009-04-01,111.4
2009-07-01,111.6
2009-10-01,111.9
2010-01-01,112.2
2010-04-01,112.3
2010-07-01,112.6
2010-10-01,112.6
2011-01-01,112.9
2011-04-01,113.3
2011-07-01,113.4
2011-10-01,114.0
2012-01-01,114.1
2012-04-01,114.5
2012-07-01,115.0
2012-10-01,115.4
2013-01-01,116.0
2013-04-01,116.5
2013-07-01,117.1
2013-10-01,117.3
2014-01-01,117.5
2014-04-01,117.9
2014-07-01,118.8
2014-10-01,119.5
2015-01-01,119.9
2015-04-01,120.7
2015-07-01,121.5
2015-10-01,122.7
2016-01-01,123.0
2016-04-01,124.0
2016-07-01,123.9
2016-10-01,125.3
2017-01-01,126.3
2017-04-01,126.8
2017-07-01,127.7
2017-10-01,128.4
2018-01-01,129.8
2018-04-01,130.8
2018-07-01,131.5
2018-10-01,132.5
2019-01-01,133.7
2019-04-01,134.5
2019-07-01,136.4
2019-10-01,137.5
2020-01-01,138.5
2020-04-01,139.5
2020-07-01,140.3
2020-10-01,141.3
2021-01-01,142.7
2021-04-01,143.9
2021-07-01,145.0
2021-10-01,146.6
2022-01-01,147.9
2022-04-01,150.0
2022-07-01,151.8
2022-10-01,153.6
2023-01-01,156.3
2023-04-01,156.9
2023-07-01,158.6
