DATE,NGDPRSAXDCUSQ
1950-01-01,586526.0
1950-04-01,604420.5
1950-07-01,627781.8
1950-10-01,639803.5
1951-01-01,648491.8
1951-04-01,659724.5
1951-07-01,673314.8
1951-10-01,674789.0
1952-01-01,681988.5
1952-04-01,683450.0
1952-07-01,688379.3
1952-10-01,710985.3
1953-01-01,724202.8
1953-04-01,729801.5
1953-07-01,725696.3
1953-10-01,714711.3
1954-01-01,711298.0
1954-04-01,712076.3
1954-07-01,720120.5
1954-10-01,734213.0
1955-01-01,755186.5
1955-04-01,767477.5
1955-07-01,777844.8
1955-10-01,782517.0
1956-01-01,779480.5
1956-04-01,785923.5
1956-07-01,785218.5
1956-10-01,798142.5
1957-01-01,803252.8
1957-04-01,801492.5
1957-07-01,809346.5
1957-10-01,800973.5
1958-01-01,780181.0
1958-04-01,785306.0
1958-07-01,803471.0
1958-10-01,822258.0
1959-01-01,838032.3
1959-04-01,856916.8
1959-07-01,857514.3
1959-10-01,859958.0
1960-01-01,879295.3
1960-04-01,874561.5
1960-07-01,878846.3
1960-10-01,867569.5
1961-01-01,873425.8
1961-04-01,888255.3
1961-07-01,905313.0
1961-10-01,923072.3
1962-01-01,939536.8
1962-04-01,948037.3
1962-07-01,959694.0
1962-10-01,962855.3
1963-01-01,973370.5
1963-04-01,984295.8
1963-07-01,1005938.8
1963-10-01,1012536.8
1964-01-01,1033888.3
1964-04-01,1045148.0
1964-07-01,1061479.5
1964-10-01,1064761.5
1965-01-01,1090527.8
1965-04-01,1104306.3
1965-07-01,1128856.8
1965-10-01,1154864.5
1966-01-01,1182972.0
1966-04-01,1187011.5
1966-07-01,1197063.5
1966-10-01,1206884.3
1967-01-01,1217574.8
1967-04-01,1218321.8
1967-07-01,1229848.0
1967-10-01,1239119.3
1968-01-01,1264388.3
1968-04-01,1285508.3
1968-07-01,1295464.8
1968-10-01,1300553.0
1969-01-01,1320899.3
1969-04-01,1324906.3
1969-07-01,1333650.0
1969-10-01,1327139.0
1970-01-01,1325163.0
1970-04-01,1327041.0
1970-07-01,1339269.3
1970-10-01,1324918.0
1971-01-01,1360904.8
1971-04-01,1368264.8
1971-07-01,1379518.0
1971-10-01,1382758.0
1972-01-01,1408162.3
1972-04-01,1440117.5
1972-07-01,1453713.5
1972-10-01,1478055.0
1973-01-01,1514636.0
1973-04-01,1531126.5
1973-07-01,1523075.3
1973-10-01,1537532.8
1974-01-01,1524314.5
1974-04-01,1527937.8
1974-07-01,1513494.5
1974-10-01,1507616.0
1975-01-01,1489258.8
1975-04-01,1499902.5
1975-07-01,1525581.5
1975-10-01,1546132.5
1976-01-01,1580912.3
1976-04-01,1592506.3
1976-07-01,1601223.8
1976-10-01,1612794.3
1977-01-01,1631925.8
1977-04-01,1663616.5
1977-07-01,1693614.3
1977-10-01,1693648.0
1978-01-01,1699065.0
1978-04-01,1764730.0
1978-07-01,1782478.8
1978-10-01,1806437.5
1979-01-01,1809681.8
1979-04-01,1811613.5
1979-07-01,1825070.3
1979-10-01,1829633.8
1980-01-01,1835389.3
1980-04-01,1797572.3
1980-07-01,1795435.8
1980-10-01,1828919.3
1981-01-01,1864755.5
1981-04-01,1850936.3
1981-07-01,1873101.3
1981-10-01,1852692.0
1982-01-01,1823907.8
1982-04-01,1832228.0
1982-07-01,1825224.0
1982-10-01,1825954.3
1983-01-01,1850016.5
1983-04-01,1892114.0
1983-07-01,1929936.5
1983-10-01,1970198.5
1984-01-01,2008711.8
1984-04-01,2043417.5
1984-07-01,2063116.3
1984-10-01,2080049.8
1985-01-01,2100205.0
1985-04-01,2118696.8
1985-07-01,2151055.0
1985-10-01,2167047.0
1986-01-01,2187281.8
1986-04-01,2197131.0
1986-07-01,2218150.3
1986-10-01,2230048.3
1987-01-01,2246591.8
1987-04-01,2270814.0
1987-07-01,2290506.0
1987-10-01,2329833.0
1988-01-01,2341875.5
1988-04-01,2372648.5
1988-07-01,2386551.5
1988-10-01,2418351.3
1989-01-01,2442931.3
1989-04-01,2461573.3
1989-07-01,2479807.0
1989-10-01,2484691.8
1990-01-01,2511846.5
1990-04-01,2520963.8
1990-07-01,2522642.3
1990-10-01,2499676.0
1991-01-01,2487979.0
1991-04-01,2507377.5
1991-07-01,2520048.8
1991-10-01,2528832.3
1992-01-01,2559108.8
1992-04-01,2586857.3
1992-07-01,2612418.3
1992-10-01,2639662.0
1993-01-01,2644068.8
1993-04-01,2659461.8
1993-07-01,2672151.5
1993-10-01,2708496.8
1994-01-01,2734779.0
1994-04-01,2771840.3
1994-07-01,2788044.0
1994-10-01,2819983.0
1995-01-01,2829987.8
1995-04-01,2838430.3
1995-07-01,2862577.5
1995-10-01,2882016.8
1996-01-01,2903604.5
1996-04-01,2952035.0
1996-07-01,2978515.8
1996-10-01,3009443.8
1997-01-01,3028868.0
1997-04-01,3079305.3
1997-07-01,3117752.5
1997-10-01,3144373.8
1998-01-01,3175935.5
1998-04-01,3205334.8
1998-07-01,3245688.0
1998-10-01,3297917.5
1999-01-01,3328899.3
1999-04-01,3356687.0
1999-07-01,3401192.8
1999-10-01,3456995.0
2000-01-01,3469536.8
2000-04-01,3532727.0
2000-07-01,3536328.0
2000-10-01,3557441.3
2001-01-01,3545780.0
2001-04-01,3567923.5
2001-07-01,3553629.0
2001-10-01,3563393.5
2002-01-01,3593196.3
2002-04-01,3615212.0
2002-07-01,3629908.3
2002-10-01,3634395.0
2003-01-01,3653535.3
2003-04-01,3685891.8
2003-07-01,3747195.5
2003-10-01,3790690.0
2004-01-01,3812170.0
2004-04-01,3841712.5
2004-07-01,3878154.8
2004-10-01,3917720.0
2005-01-01,3961181.8
2005-04-01,3980695.5
2005-07-01,4011896.8
2005-10-01,4034183.5
2006-01-01,4088458.8
2006-04-01,4099037.8
2006-07-01,4105184.5
2006-10-01,4140466.5
2007-01-01,4152922.5
2007-04-01,4178328.5
2007-07-01,4202396.8
2007-10-01,4228797.8
2008-01-01,4210750.8
2008-04-01,4235822.8
2008-07-01,4213573.8
2008-10-01,4121337.5
2009-01-01,4074565.5
2009-04-01,4067286.3
2009-07-01,4081570.3
2009-10-01,4125688.5
2010-01-01,4145677.5
2010-04-01,4185790.5
2010-07-01,4218066.5
2010-10-01,4240216.0
2011-01-01,4230158.0
2011-04-01,4258778.5
2011-07-01,4257828.3
2011-10-01,4305645.8
2012-01-01,4341752.5
2012-04-01,4361131.3
2012-07-01,4367412.5
2012-10-01,4372463.0
2013-01-01,4415600.0
2013-04-01,4427417.8
2013-07-01,4465112.5
2013-10-01,4504036.8
2014-01-01,4488493.5
2014-04-01,4546477.8
2014-07-01,4601735.3
2014-10-01,4625007.8
2015-01-01,4666655.3
2015-04-01,4695560.8
2015-07-01,4714354.5
2015-10-01,4723051.5
2016-01-01,4750422.5
2016-04-01,4765677.3
2016-07-01,4799484.5
2016-10-01,4826088.0
2017-01-01,4849585.8
2017-04-01,4876737.3
2017-07-01,4915191.5
2017-10-01,4970588.0
2018-01-01,5011019.3
2018-04-01,5037619.0
2018-07-01,5069038.5
2018-10-01,5076218.5
2019-01-01,5103787.5
2019-04-01,5146132.0
2019-07-01,5204395.3
2019-10-01,5237772.0
2020-01-01,5166388.3
2020-04-01,4758707.5
2020-07-01,5127946.3
2020-10-01,5181032.0
2021-01-01,5247635.3
2021-04-01,5327386.0
2021-07-01,5370770.8
2021-10-01,5461900.5
2022-01-01,5434717.8
2022-04-01,5427040.0
2022-07-01,5462783.5
2022-10-01,5497495.3
2023-01-01,5528082.3
2023-04-01,5556337.5
2023-07-01,5626591.3
